
2024/09/22 (02:40:07) | ===> btop++ v.1.3.2
2024/09/22 (02:40:07) | WARNING: ROCm SMI: Failed to get device name
2024/09/22 (02:40:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/22 (02:40:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/22 (03:04:12) | ===> btop++ v.1.3.2
2024/09/22 (03:04:12) | WARNING: ROCm SMI: Failed to get device name
2024/09/22 (03:04:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/22 (03:04:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (22:07:35) | ===> btop++ v.1.4.0
2024/12/19 (22:07:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (22:07:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/16 (00:28:05) | ===> btop++ v.1.4.0
2025/01/16 (00:28:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (00:28:05) | WARNING: ROCm SMI: Failed to get PCIe throughput
